Potential_temperature_C,Practical_salinity,Potential_density_anomaly_kgm3,Pressure_decibar,Serial_date_number_base_date_1_January_0000,Longitude,Latitude,Bottom_Depth_m
2.098575917,34.89958426,27.8862987,1767.5,731777,-36.50833333,63.555,1784
2.073668298,34.89833991,27.88732381,1765.8,731778,-36.50833333,63.555,1784
1.87946525,34.8934746,27.89892445,1766.1,731779,-36.50833333,63.555,1784
2.290323845,34.90737766,27.87670513,1767.1,731780,-36.50833333,63.555,1784
2.723605145,34.91604768,27.84616678,1767.3,731781,-36.50833333,63.555,1784
2.7397229,34.90608572,27.83676995,1767.2,731782,-36.50833333,63.555,1784
2.502201402,34.90540433,27.85709821,1767.1,731783,-36.50833333,63.555,1784
2.471142221,34.90419025,27.85880511,1767,731784,-36.50833333,63.555,1784
1.763528817,34.89905088,27.91241828,1766.6,731785,-36.50833333,63.555,1784
2.001313655,34.9022031,27.89624814,1766.4,731786,-36.50833333,63.555,1784
1.392790421,34.90141493,27.94202938,1765.9,731787,-36.50833333,63.555,1784
1.505429383,34.89783417,27.9309211,1765.7,731788,-36.50833333,63.555,1784
2.084518899,34.90328614,27.89040401,1765.6,731789,-36.50833333,63.555,1784
2.509450094,34.90498083,27.85613217,1765.4,731790,-36.50833333,63.555,1784
1.879434706,34.89502584,27.90016935,1765.2,731791,-36.50833333,63.555,1784
2.094452432,34.89088008,27.87966404,1765.2,731792,-36.50833333,63.555,1784
2.094598417,34.90234187,27.888829,1765.4,731793,-36.50833333,63.555,1784
2.594056951,34.90289392,27.84710204,1765.8,731794,-36.50833333,63.555,1784
2.739121827,34.91116186,27.84087804,1766,731795,-36.50833333,63.555,1784
2.172056716,34.89918352,27.879966,1766.3,731796,-36.50833333,63.555,1784
2.418127336,34.8980529,27.8584394,1766.6,731797,-36.50833333,63.555,1784
2.29489056,34.90315106,27.87294076,1766.9,731798,-36.50833333,63.555,1784
2.409321191,34.90152424,27.86196672,1766.8,731799,-36.50833333,63.555,1784
2.349170326,34.90137062,27.86694844,1766.6,731800,-36.50833333,63.555,1784
1.254364019,34.89618259,27.9477251,1765.9,731801,-36.50833333,63.555,1784
1.361665967,34.89491665,27.93905973,1765.7,731802,-36.50833333,63.555,1784
1.798321242,34.91016344,27.91863344,1765.2,731803,-36.50833333,63.555,1784
2.273692971,34.89045737,27.86455712,1764.9,731804,-36.50833333,63.555,1784
1.603267824,34.89188383,27.91886423,1764.5,731805,-36.50833333,63.555,1784
1.475844327,34.89421638,27.93019607,1764.6,731806,-36.50833333,63.555,1784
1.649987342,34.89211817,27.91553185,1764.8,731807,-36.50833333,63.555,1784
1.583873383,34.89539302,27.92313254,1765.2,731808,-36.50833333,63.555,1784
1.37872165,34.89851346,27.94071742,1765.6,731809,-36.50833333,63.555,1784
1.80429355,34.90075483,27.9106296,1766.1,731810,-36.50833333,63.555,1784
2.037922894,34.90140039,27.89266327,1766.2,731811,-36.50833333,63.555,1784
1.813165234,34.89685142,27.90681208,1766.3,731812,-36.50833333,63.555,1784
1.889581121,34.89670406,27.90071672,1766.5,731813,-36.50833333,63.555,1784
2.128376126,34.8977616,27.88240921,1766.2,731814,-36.50833333,63.555,1784
1.934004371,34.89331573,27.89449337,1766.1,731815,-36.50833333,63.555,1784
1.651544104,34.87576801,27.90230328,1765.7,731816,-36.50833333,63.555,1784
1.903079343,34.89258443,27.89635219,1765.6,731817,-36.50833333,63.555,1784
2.13242599,34.8905293,27.87628803,1765.2,731818,-36.50833333,63.555,1784
1.887615929,34.87213175,27.88118268,1764.9,731819,-36.50833333,63.555,1784
